,S1,C1,E1,P1,C2,E2,S2,C3,P2,E3
4099,-4.1453340129063833e-13,-8.636112855605836e-13,0.25000000000086486,-4.1453326657407175e-12,3.595786741226138e-07,0.2500000000008649,1.9999979653562114,-6.908880705408668e-11,1.67513419456635e-06,0.2499996404213252
4100,-4.1453339762606565e-13,-8.636112776998736e-13,0.25000000000086486,-4.14533263851716e-12,3.570448415750275e-07,0.2500000000008649,1.9999979796942498,-6.908880709870014e-11,1.6633299887551546e-06,0.24999964295515772
4101,-4.145333939868771e-13,-8.636112698930689e-13,0.25000000000086486,-4.1453326114774795e-12,3.5452886057490517e-07,0.2500000000008649,1.9999979939312724,-6.908880714300457e-11,1.651608947071252e-06,0.24999964547113873
4102,-4.1453339037301727e-13,-8.636112621398271e-13,0.25000000000086486,-4.145332584612735e-12,3.5203060531679406e-07,0.2500000000008649,1.9999980080679913,-6.908880718700791e-11,1.6399704834275544e-06,0.249999647969394
4103,-4.145333867844548e-13,-8.636112544398361e-13,0.25000000000086486,-4.1453325579124764e-12,3.49549950872875e-07,0.2500000000008649,1.9999980221051135,-6.908880723071948e-11,1.6284140158256404e-06,0.24999965045004843
4104,-4.1453338322096116e-13,-8.636112467927746e-13,0.25000000000086486,-4.145332531383777e-12,3.470867732936535e-07,0.2500000000008649,1.9999980360433398,-6.908880727413464e-11,1.6169389668246743e-06,0.249999652913226
4105,-4.1453337968135015e-13,-8.636112391981718e-13,0.25000000000086486,-4.145332505116551e-12,3.446409499699577e-07,0.2500000000008649,1.9999980498833647,-6.908880731718254e-11,1.605544765227274e-06,0.24999965535904933
4106,-4.145333761663664e-13,-8.636112316559468e-13,0.25000000000086486,-4.145332479035483e-12,3.4221235822607984e-07,0.2500000000008649,1.9999980636258823,-6.908880735992479e-11,1.594230839527546e-06,0.24999965778764108
4107,-4.1453337267592715e-13,-8.636112241658961e-13,0.25000000000086486,-4.145332453136921e-12,3.398008766501483e-07,0.2500000000008649,1.9999980772715793,-6.908880740236576e-11,1.5829966241068163e-06,0.24999966019912268
4108,-4.1453336920996117e-13,-8.63611216727852e-13,0.25000000000086486,-4.145332427416833e-12,3.3740638468080703e-07,0.2500000000008649,1.999998090821138,-6.908880744451027e-11,1.5718415573087215e-06,0.24999966259361464
4109,-4.1453336576840893e-13,-8.636112093416834e-13,0.25000000000086486,-4.145332401870789e-12,3.3502876260043033e-07,0.2500000000008649,1.999998104275236,-6.908880748636367e-11,1.5607650814075967e-06,0.2499996649712367
4110,-4.1453336235122303e-13,-8.636112020072981e-13,0.25000000000086486,-4.14533237649395e-12,3.326678915283547e-07,0.2500000000008649,1.9999981176345458,-6.908880752793177e-11,1.5497666425769422e-06,0.2499996673321078
4111,-4.145333589583682e-13,-8.636111947246434e-13,0.25000000000086486,-4.1453323512810526e-12,3.303236534141003e-07,0.2500000000008649,1.9999981308997357,-6.908880756922096e-11,1.5388456908578442e-06,0.2499996696763459
4112,-4.1453335558982184e-13,-8.636111874937083e-13,0.25000000000086486,-4.145332326226395e-12,3.279959310306028e-07,0.2500000000008649,1.999998144071469,-6.908880761023814e-11,1.5280016801274403e-06,0.24999967200406828
4113,-4.145333522454627e-13,-8.63611180314241e-13,0.25000000000086486,-4.145332301335627e-12,3.2568460803046616e-07,0.2500000000008649,1.9999981571504035,-6.908880765097797e-11,1.517234068361132e-06,0.24999967431539127
4114,-4.14533348924045e-13,-8.63611173183129e-13,0.25000000000086486,-4.145332276734773e-12,3.2338956952125985e-07,0.2500000000008649,1.99999817013719,-6.908880769130359e-11,1.5065423203140945e-06,0.2499996766104298
4115,-4.1453334562632145e-13,-8.636111661023756e-13,0.25000000000086486,-4.145332252338497e-12,3.211107002878658e-07,0.2500000000008649,1.9999981830324804,-6.908880773130924e-11,1.4959258992355401e-06,0.24999967888929903
4116,-4.145333423521925e-13,-8.636111590718211e-13,0.25000000000086486,-4.145332228152913e-12,3.1884788640234375e-07,0.2500000000008649,1.9999981958369193,-6.908880777098932e-11,1.4853842743724153e-06,0.2499996811521129
4117,-4.1453333910155834e-13,-8.63611152091319e-13,0.25000000000086486,-4.145332204185126e-12,3.16601014734302e-07,0.2500000000008649,1.9999982085511465,-6.908880781033728e-11,1.4749169186872207e-06,0.24999968339898457
4118,-4.145333358743181e-13,-8.636111451607356e-13,0.25000000000086486,-4.145332180443288e-12,3.143699729445031e-07,0.2500000000008649,1.9999982211757983,-6.908880784934554e-11,1.4645233088282222e-06,0.24999968563002636
4119,-4.1453333267036974e-13,-8.636111382799495e-13,0.25000000000086486,-4.145332156936652e-12,3.1215464947845977e-07,0.2500000000008649,1.9999982337115054,-6.908880788800545e-11,1.454202925099615e-06,0.24999968784534982
4120,-4.145333294896094e-13,-8.636111314488521e-13,0.25000000000086486,-4.14533213367563e-12,3.0995493356004066e-07,0.2500000000008649,1.999998246158895,-6.908880792630722e-11,1.4439552514317336e-06,0.24999969004506575
4121,-4.1453332633193133e-13,-8.636111246673472e-13,0.25000000000086486,-4.145332110671847e-12,3.077707151850599e-07,0.2500000000008649,1.9999982585185894,-6.908880796423991e-11,1.4337797753511868e-06,0.24999969222928412
4122,-4.145333231972269e-13,-8.636111179353506e-13,0.25000000000086486,-4.145332087938196e-12,3.0560188511488297e-07,0.2500000000008649,1.999998270791207,-6.90888080017913e-11,1.423675987951067e-06,0.2499996943981142
4123,-4.145333200852681e-13,-8.636111112517804e-13,0.25000000000086486,-4.145332065363876e-12,3.034483352170512e-07,0.2500000000008649,1.9999982829773595,-6.908880803907382e-11,1.413643385477593e-06,0.2499996965516641
4124,-4.1453331699581503e-13,-8.636111046154946e-13,0.25000000000086486,-4.145332042830503e-12,3.0130995813674245e-07,0.2500000000008649,1.999998295077654,-6.90888080762075e-11,1.40368146779975e-06,0.24999969869004118
4125,-4.1453331392884777e-13,-8.63611098027298e-13,0.25000000000086486,-4.145332020460836e-12,2.991866466000983e-07,0.2500000000008649,1.9999983070926983,-6.908880811306972e-11,1.3937897351641506e-06,0.2499997008133527
4126,-4.1453331088421465e-13,-8.636110914869045e-13,0.25000000000086486,-4.145331998242569e-12,2.9707829445225664e-07,0.2500000000008649,1.9999983190230926,-6.908880814967385e-11,1.3839676930302346e-06,0.24999970292170487
