,S1,C1,E1,P1,C2,E2,S2,C3,P2,E3
2791,-2.944635635084144e-12,-6.680776165405282e-12,0.2500000000066803,-9.783692457706333e-12,0.0010165631119593865,0.25000000000202083,0.9942273013820396,-8.037188173281378e-11,0.004756135586375135,0.24898343688804073
2792,-2.890109280937509e-12,-6.5515648308772915e-12,0.2500000000065511,-9.800577743253384e-12,0.0010094511522011611,0.2500000000020249,0.9942678296110645,-8.05347236665834e-11,0.004722719317271372,0.24899054884779895
2793,-2.837141834260396e-12,-6.426047902295862e-12,0.2500000000064256,-9.816971558325576e-12,0.0010023886007939245,0.25000000000202877,0.9943080742942924,-8.069292031964724e-11,0.0046895371856089975,0.24899761139920618
2794,-2.7856887302080027e-12,-6.304119764295279e-12,0.2500000000063036,-9.832888035502522e-12,0.0009953751193296297,0.25000000000203254,0.9943480374016627,-8.084660438879642e-11,0.004656587559856671,0.24900462488067046
2795,-2.7357066092813683e-12,-6.185677658127206e-12,0.2500000000061852,-9.848340923998791e-12,0.0009884103716465541,0.2500000000020362,0.9943877208896527,-8.099590498313682e-11,0.004623868819699011,0.24901158962835354
2796,-2.687153401081708e-12,-6.070621880160547e-12,0.25000000000607014,-9.863343562612435e-12,0.000981494023822369,0.2500000000020398,0.9944271267013124,-8.114094737522975e-11,0.004591379356008465,0.24901850597617775
2797,-2.6399882667660747e-12,-5.958855645500635e-12,0.25000000000595834,-9.87790889805572e-12,0.0009746257441589186,0.25000000000204325,0.9944662567663637,-8.128185317233054e-11,0.004559117570761497,0.2490253742558412
2798,-2.5941714608348104e-12,-5.850284760426625e-12,0.25000000000584977,-9.892049529767181e-12,0.0009678052031618178,0.25000000000204664,0.9945051130013388,-8.141874072687328e-11,0.004527081876920412,0.2490321947968383
2799,-2.549664412261583e-12,-5.7448178146690636e-12,0.25000000000574435,-9.905777683644972e-12,0.0009610320735339506,0.2500000000020499,0.9945436973096125,-8.15517248954897e-11,0.004495270698407559,0.24903896792646615
2800,-2.5064296990514024e-12,-5.6423661211130526e-12,0.2500000000056419,-9.919105220621013e-12,0.0009543060301623013,0.2500000000020531,0.9945820115814857,-8.168091711425056e-11,0.004463682470035184,0.2490456939698378
2801,-2.464430888336383e-12,-5.5428433368240195e-12,0.25000000000554234,-9.932043686751777e-12,0.0009476267500956116,0.25000000000205613,0.9946200576943384,-8.180642587532458e-11,0.004432315637374773,0.24905237324990448
2802,-2.423632618356591e-12,-5.446165657344566e-12,0.2500000000054457,-9.94460428757019e-12,0.0009409939125384761,0.25000000000205913,0.9946578375126574,-8.192835648258268e-11,0.004401168656734813,0.24905900608746162
2803,-2.384000596093639e-12,-5.352251811089207e-12,0.2500000000053518,-9.956797887942054e-12,0.0009344071988399922,0.250000000002062,0.9946953528881067,-8.20468110595562e-11,0.004370239995102358,0.2490655928011601
2804,-2.345501426591286e-12,-5.261022654826633e-12,0.25000000000526057,-9.96863506823565e-12,0.0009278662924698637,0.25000000000206485,0.9947326056596913,-8.216188905548113e-11,0.0043395281300028935,0.24907213370753023
2805,-2.308102691599716e-12,-5.172401360073563e-12,0.250000000005172,-9.980126097943932e-12,0.0009213708790129316,0.2500000000020676,0.9947695976537826,-8.227368701264765e-11,0.004309031549480343,0.2490786291209872
2806,-2.2717729633266e-12,-5.08631344568982e-12,0.2500000000050859,-9.991280931504074e-12,0.0009149206461592942,0.25000000000207023,0.9948063306841772,-8.238229852532049e-11,0.004278748752048021,0.2490850793538408
2807,-2.2364816322357466e-12,-5.002686369749254e-12,0.2500000000050022,-1.0002109263396376e-11,0.0009085152836794227,0.25000000000207284,0.9948428065522679,-8.248781475182775e-11,0.004248678246542752,0.2490914847163207
2808,-2.2021989794011702e-12,-4.921449701028186e-12,0.25000000000492095,-1.0012620504950434e-11,0.0009021544834188384,0.25000000000207534,0.9948790270470684,-8.259032419947025e-11,0.004218818552105358,0.24909784551658126
2809,-2.168896201667149e-12,-4.842535178638148e-12,0.25000000000484207,-1.0022823776885919e-11,0.0008958379392895633,0.2500000000020778,0.9949149939452627,-8.26899126491007e-11,0.004189168198139891,0.24910416206071054
2810,-2.13654524267007e-12,-4.765876311539409e-12,0.2500000000047654,-1.003272796222662e-11,0.0008895653472445012,0.2500000000020801,0.9949507090113807,-8.278666365884526e-11,0.004159725724163732,0.2491104346527556
2811,-2.1051188593980416e-12,-4.691408536293827e-12,0.2500000000046909,-1.0042341685729638e-11,0.0008833364052723247,0.2500000000020824,0.9949861739978216,-8.288065836543205e-11,0.0041304896797889285,0.24911666359472778
2812,-2.0745906506951237e-12,-4.619069284616972e-12,0.2500000000046186,-1.0051673304780141e-11,0.0008771508133895655,0.2500000000020846,0.9950213906448993,-8.29719753993522e-11,0.0041014586246853595,0.24912284918661054
2813,-2.044934903232784e-12,-4.548797618334634e-12,0.2500000000045483,-1.0060730958300437e-11,0.000871008273615444,0.2500000000020868,0.9950563606810133,-8.306069134343687e-11,0.004072631128434177,0.24912899172638464
2814,-2.0161266460968654e-12,-4.480534358752304e-12,0.25000000000448,-1.0069522549486479e-11,0.0008649084899662549,0.25000000000208883,0.9950910858226771,-8.314688057025519e-11,0.004044005770505651,0.24913509151003385
2815,-1.98814167112851e-12,-4.41422213486019e-12,0.25000000000441375,-1.0078055738606448e-11,0.0008588511684470441,0.2500000000020909,0.9951255677745663,-8.323061518231245e-11,0.00401558114021939,0.24914114883155306
2816,-1.960956421159366e-12,-4.349805118456859e-12,0.2500000000043493,-1.008633797962163e-11,0.0008528360170297136,0.2500000000020928,0.9951598082296653,-8.331196534362505e-11,0.003987355836619141,0.24914716398297038
2817,-1.9345480045320847e-12,-4.287229058560804e-12,0.25000000000428674,-1.0094376515113689e-11,0.0008468627456439849,0.25000000000209477,0.9951938088693206,-8.339099923695755e-11,0.003959328468428599,0.24915313725435612
2818,-1.9088942216740546e-12,-4.226441344389541e-12,0.25000000000422595,-1.0102178368422894e-11,0.0008409310661699231,0.2500000000020966,0.9952275713632831,-8.346778298414387e-11,0.00393149765401686,0.24915906893383016
2819,-1.8839734931241893e-12,-4.167390834784639e-12,0.2500000000041669,-1.0109750365972301e-11,0.0008350406924197485,0.25000000000209843,0.9952610973698279,-8.35423808608672e-11,0.003903862021296778,0.24916495930758034
